id,name,名称,iata_code 
4650,Utirik Airport,乌蒂里克,UTK
6924,Ocean Reef Club Airport,海洋礁俱乐部,OCA
7063,Pilot Station Airport,飞行员站,PQS
7139,Crested Butte Airpark,Crested Butte空中公园,CSE
7545,LBJ Ranch Airport,LBJ牧场,JCY
7866,Loring Seaplane Base,洛林飞机基地,WLR
7977,Nunapitchuk Airport,努纳皮丘克,NUP
7994,Port Alice Seaplane Base,爱丽丝港飞机基地,PTC
8126,Icy Bay Airport,冰湾,ICY
8159,Port Protection Seaplane Base,港口保护海上飞机基地,PPV
8383,Kalakaket Creek AS Airport,卡拉卡基特溪AS,KKK
8566,Dunsmuir Muni-Mott Airport,Dunsmuir Muni Mott,MHS
8753,Chase Field Industrial Airport,蔡斯菲尔德工业,NIR
8774,Grand Canyon Bar Ten Airstrip,Grand Canyon Bar Ten空中旅行,GCT
8775,Ellamar Seaplane Base,艾拉玛水上飞机基地,ELW
9287,Lime Village Airport,Lime Village,LVD
9294,Hog River Airport,霍格河,HGZ
20770,Ed-Air Airport,埃德航空,OTN
9485,Telida Airport,Telida,TLF
9776,Eagle Air Park,鹰航空公园,BZT
9902,Entrance Island Seaplane Base,入口岛飞机基地,HBH
9906,False Island Seaplane Base,假岛飞机基地,FAK
10309,Blakely Island Airport,布莱克利岛,BYW
10366,Drift River Airport,漂流河,DRF
10532,Rinkenberger Restricted Landing Area,Rinkenberger限制着陆区,BDF
10856,Roy Otten Memorial Airfield,罗伊·奥滕纪念,VRS
10905,Golden Horn Lodge Seaplane Base,Golden Horn Lodge Seaplane基地,GDH
11318,Atmautluak Airport,阿特毛特卢克,ATT
11320,Livengood Camp Airport,Livengood Camp,LIV
11485,Pedro Bay Airport,佩德罗湾,PDB
11487,Ouzinkie Airport,乌津基,KOZ
11488,Tununak Airport,图努纳克,TNK
11820,Hyder Seaplane Base,海德海平面基地,WHD
11900,Minto Al Wright Airport,明托赖特,MNT
12114,Tokeen Seaplane Base,托肯海平面基地,TKI
12243,Aleknagik / New Airport,阿勒克纳吉克/新,WKK
12429,Ketchikan Harbor Seaplane Base,凯奇坎海港飞机基地,WFB
12560,Naknek Airport,Naknek,NNK
12764,Lake Brooks Seaplane Base,布鲁克斯湖飞机基地,BKF
12995,Southern Seaplane Airport,南部海平面,BCS
13208,Catalina Air-Sea Terminal Heliport,卡塔琳娜海空码头直升,SPQ
13405,East 34th Street Heliport,东34街直升,TSS
13407,New York Skyports Inc Seaplane Base,纽约Skyports Inc水上飞机基地,NYS
13485,Earl Henry Airport,亨利伯爵,BWL
13974,Yes Bay Lodge Seaplane Base,Yes Bay Lodge海平面基地,WYB
13997,Center Island Airport,中心岛,CWS
14173,Tatitlek Airport,塔蒂莱克,TEK
14270,Pine Island Airport,松岛,DUF
14453,Stuart Island Airpark,斯图尔特岛航空公园,SSW
14559,Fort Bragg Airport,布拉格堡,FOB
14620,Port of Poulsbo Marina Moorage Seaplane Base,波尔斯博港码头摩尔拉奇海平面基地,PUL
14633,Century City Heliport,世纪城直升,CCD
14642,Meyers Chuck Seaplane Base,迈尔斯·查克海上飞机基地,WMK
19113,Maxson Airfield,Maxson,AXB
15267,Reese Airpark,里斯空中公园,REE
15300,Waldron Airstrip,沃尔德伦空难,WDN
15514,Whale Pass Seaplane Float Harbor Facility,Whale Pass Seaplane Float Harbor设施,WWP
15640,Chuathbaluk Airport,Chuathbaluk,CHU
15641,Ugashik Airport,乌加希克,UGS
15836,Philadelphia Seaplane Base,费城飞机基地,PSQ
16069,Levelock Airport,Levelock,KLL
16074,Saginaw Seaplane Base,萨吉诺海平面基地,SGW
16082,Tuntutuliak Airport,通图图利亚克,WTL
16083,Twin Hills Airport,双子山,TWA
16089,Chignik Lake Airport,奇尼克湖,KCQ
324756,Adado Airport,阿达多,AAD
301645,Atkamba Airport,阿特坎巴,ABP
507217,Angeles City Flying Club,洛杉矶城市飞行俱乐部,AFC
41025,Arica Airport,阿里卡,ACM
301695,Andakombe Airport,安达科姆贝,ADC
309426,El Daein Airport,El Daein,ADV
313546,Jebel Ali Seaplane Base,杰贝阿里飞机基地,DJH
300307,Adareil Airport,阿达雷尔,AEE
300646,Algeciras Heliport,阿尔赫西拉斯直升,AEI
299319,Aseki Airport,Aseki,AEK
330359,Ar Horqin Airport,阿尔科尔沁,AEQ
332240,Khost International Airport,霍斯特,KHT
35364,Or奴zg膩n Airport,或奴zg公司膩n,URZ
35365,Salerno Airport,萨莱诺,OLR
309041,Kondavattavana Tank Seaplane Base,Kondavattavana坦克水上飞机基地,AFK
301665,Afore Airstrip,飞行前,AFR
301649,Afutara Aerodrome,阿富塔拉,AFT
302290,Ulawa Airport,乌拉瓦,RNA
35172,Uru Harbour Airport,乌鲁港,ATD
32570,Barakoma Airport,巴拉科马,VEV
31524,Geva Airport,格瓦,GEF
301650,Angoram Airport,安哥拉,AGG
30634,Gwaunaru'u Airport,瓜纳鲁,AKS
302047,Bellona/Anua Airport,贝罗纳/阿努阿,BNY
302291,Choiseul Bay Airport,Choiseul Bay,CHY
30678,Ballalae Airport,巴拉莱,BAS
35167,Fera/Maringe Airport,费拉/马林奇,FRE
3,Honiara International Airport,霍尼亚拉,HIR
31885,Babanakira Airport,巴巴纳基拉,MBU
301837,Avu Avu Airport,阿武阿武,AVU
31686,Ngorangora Airport,恩戈兰戈拉,IRA
32275,Santa Cruz/Graciosa Bay/Luova Airport,圣克鲁斯/格拉西奥萨湾/洛瓦,SCZ
4,Munda Airport,蒙达,MUA
31563,Nusatupe Airport,努萨图佩,GZO
31932,Mono Airport,莫诺,MNY
32174,Parasi Airport,帕拉西,PRS
35171,Rennell/Tingoa Airport,伦内尔/廷戈阿,RNL
30989,Sege Airport,塞格,EGM
308425,Santa Ana Airport,圣安娜,NNB
32238,Marau Airport,马劳,RUS
32564,Suavanao Airport,苏瓦诺,VAO
302292,Yandina Airport,Yandina,XYA
301651,Kagua Airport,卡瓜,AGK
35169,Kaghau Airport,Kaghau,KGE
310179,Kukudu Airport,库库杜,KUE
308424,Kwailabesi Airport,夸拉贝西,KWS
301652,Wanigela Airport,瓦尼格拉,AGL
310002,Nana Airport,娜娜,NAZ
508090,Manaoba Airport,马瑙巴,MHM
35168,Gatokae Aerodrome,加托凯,GTA
32211,Ringi Cove Airport,林吉湾,RIN
35170,Ramata Airport,拉马塔,RBV
306999,Tulaghi Heliport,图拉吉直升,TLG
314491,Argyle Downs Airport,阿盖尔唐斯,AGY
312371,Hongyuan Airport,宏远,AHJ
299324,Ambatolhy Airport,安巴托希,AHY
46170,Aiome Airport,Aiome,AIE
301654,Aiambak Airport,艾扬巴克,AIH
299328,Ailinglaplap Airok Airport,艾灵顿拉普拉,AIC
16108,Chena Hot Springs Airport,切纳温泉,CEX
16120,Solomon State Field,所罗门州油田,SOL
16125,Herendeen Bay Airport,赫伦登湾,HED
16141,Taylor Airport,泰勒,TWE
16149,Tikchik Lodge Seaplane Base,Tikchik Lodge海平面基地,KTH
16155,Naukati Bay Seaplane Base,瑙卡蒂湾飞机基地,NKI
16165,Point Lonely Short Range Radar Site Airfield,Point Lonely近程雷达站点,LNI
16169,Candle 2 Airport,蜡烛2号,CDL
16174,Amook Bay Seaplane Base,阿莫克湾飞机基地,AOS
16188,Boswell Bay Airport,博斯韦尔湾,BSW
301754,Zakuoma Airport,扎库马,AKM
16289,Alitak Seaplane Base,阿利塔克飞机基地,ALZ
45229,Mar de Cort茅s International Airport,马尔·德·科尔特茅s,PPE
301755,Alto Molocue Airport,Alto Molocue,AME
301676,Ama Airport,阿玛,AMF
301689,Amanab Airport,阿曼阿布,AMU
301758,Ambatomainty Airport,Ambatomainty,AMY
8,Nauru International Airport,瑙鲁,INU
312361,Angus Downs Airport,安格斯唐斯,ANZ
35325,Catoca Airport,卡托卡,CTV
43971,Andulo Airport,安杜洛,ANL
30840,Cangamba Airport,坎甘巴,CNZ
43323,Dirico Airport,迪里科,DRC
43322,Capanda Airport,卡潘达,KNP
43326,N'dalatando Airport,恩达拉坦多,NDF
301705,Annanberg Airport,安纳伯格,AOB
312362,Abou-De茂a Airport,阿布·德茂a,AOD
301727,Asapa Airport,阿萨巴,APP
301706,April River Airport,四月河,APR
42221,Troll Airfield,Troll,QET
16294,Girdwood-Alyeska Airport,吉德伍德·阿尔耶斯卡,AQY
35399,Bragado Airport,布拉加多,QRF
35401,Caleta Olivia Airport,卡莱塔奥利维亚,CVI
35403,Charata Airport,查拉塔,CNT
35404,General Villegas Airport,维尔加斯将军,VGS
35405,Los Menucos Airport,洛斯梅纽科斯,LMD
35412,Valcheta Airport,瓦尔切塔,VCF
39021,Sunchales Aeroclub Airport,桑查莱斯航空俱乐部,NCJ
42812,Carmen de Patagones Airport,卡门·德·帕塔戈内斯,CPG
42884,Termal Airport,Termal,PRQ
46645,Colonia Sarmiento Airport,Colonia Sarmiento,OLN
301707,Aragip Airport,阿拉吉普,ARP
301732,Asirim Airport,阿西里姆,ASZ
301834,Namatanai Airport,Namatanai,ATN
301672,Aitape Airport,艾塔佩,ATP
313838,Lady Elliot Island Airstrip,埃利奥特夫人岛航空旅行,LYT
354527,Gruyere Airport,格鲁耶尔,GYZ
354528,Karara Airport,卡拉拉,KQR
30622,Agnew Airport,阿格纽,AGW
30666,Alroy Downs Airport,阿尔罗伊唐斯,AYD
30808,Baniyala Airport,巴尼亚拉,BYX
30841,Coolibah Airport,库利巴,COB
30851,Coorabie Airport,库拉比,CRJ
30853,Carlton Hill Airport,卡尔顿山,CRY
30855,Cresswell Downs Airport,克雷斯韦尔唐斯,CSD
30959,Diamantina Lakes Airport,迪亚曼蒂纳湖,DYM
35302,Hayman Island Resort Seaplane Base,海曼岛度假酒店海平面基地,HIS
31606,Helenvale Airport,海伦维尔,HLV
31723,Kimberley Downs Airport,金伯利唐斯,KBD
31745,Kulgera Airport,库尔杰拉,KGR
31995,Camballin Airport,坎巴林,MYO
32109,Orchid Beach Airport,兰花海滩,OKB
32152,Peppimenarti Airport,佩皮梅纳蒂,PEP
32201,Rockhampton Downs Airport,罗克汉普顿唐斯,RDA
32384,Sturt Creek Airport,斯特克里克,SSK
32401,Shaw River Airport,肖河,SWB
32474,Tom Price Airport,汤姆·普莱斯,TPR
32486,Torwood Airport,托伍德,TWP
32752,Springvale Airport,斯普林维尔,ZVG
301735,Aua Island Airport,奥阿岛,AUI
301693,Ambunti Airport,Ambunti,AUJ
301668,Agaun Airport,阿贡,AUP
301737,Aumo Airport,奥莫,AUV
301838,Alowe Airport,阿洛韦,AWE
314558,Alxa Left Banner Bayanhot Airport,阿拉善左旗巴彦浩特,AXF
352222,Pantar Kabir Airport,潘塔尔卡比尔,AXO
307980,Kompiam Airport,Kompiam,KPM
53,Buka Airport,布卡,BUA
311258,Biaru Airport,比亚鲁,BRP
54,Chimbu Airport,钦布,CMU
313962,Munduku Airport,Munduku,MDM
311717,Kondobol Airport,孔多波尔,KPF
311110,Dinangat Airport,迪南加特,DNU
311116,Doini Airport,多伊尼,DOI
55,Daru Airport,达鲁,DAU
311135,Embessa Airport,恩贝萨,EMS
308012,Edwaki Airport,Edwaki,XYR
311132,Eliptamin Airport,埃利普塔明,EPT
311202,Engati Airstrip,Engati空运,EGA
311200,Emo River Airstrip,埃莫河空难,EMO
311205,Erume Airport,埃鲁姆,ERU
313974,Meselia Airport,梅塞利亚,MFZ
311370,Feramin Airport,费拉明,FRQ
307757,Frieda River Airport,弗里达河,FAQ
311384,Fuma Airport,富马,FUM
56,Goroka Airport,戈罗卡,GKA
311430,Guari Airport,瓜里,GUG
308005,Garasa Airport,加拉萨,GRL
57,Gurney Airport,格尼,GUR
307709,Gusap Airport,古萨普,GAP
58,Girua Airport,吉鲁阿,PNP
311386,Gasuke Airport,加助,GBC
311468,Habi Airport,哈比,HBD
311487,Heiweni Airport,海韦尼,HNI
312918,Honinabi Airport,Honinabi,HNN
59,Hoskins Airport,霍斯金斯,HKN
311472,Haivaro Airport,海瓦罗,HIT
312938,Imane Airport,伊曼,IMN
313419,Kungim Airport,昆吉姆,KGM
312964,Imonda Airport,伊蒙达,IMD
302264,Aropa Airport,阿罗帕,KIE
312934,Ialibu Airport,伊阿利布,IAL
319533,Witu Airport,威图,WIU
311794,Yongai Airport,永爱,KGH
35188,Losuia Airport,洛苏亚,LSA
308795,Kopiago Airport,科皮亚戈,KPA
35185,Kiunga Airport,Kiunga,UNG
308592,Kanainj Airport,卡奈伊,KNE
35184,Kikori Airport,Kikori,KRI
60,Kerema Airport,凯雷马,KMA
